Benzyl alcohol;water;ground-, long-term;kilogram;477
Nitric oxide;air;unspecified;kilogram;478
Mefenpyr-diethyl;soil;agricultural;kilogram;479
Hydrazine;water;surface water;kilogram;480
Oxydemeton-methyl;soil;agricultural;kilogram;481
Transformation, from traffic area, road network;natural resource;land;square meter;482
Carbon monoxide, from soil or biomass stock;air;urban air close to ground;kilogram;483
BOD5, Biological Oxygen Demand;water;surface water;kilogram;484
Tetramethyl ammonium hydroxide;air;non-urban air or from high stacks;kilogram;485
Iodide;soil;agricultural;kilogram;486
1,1,1-Trifluoroethane;air;low population density, long-term;kilogram;487
Silicon;water;surface water;kilogram;488
Potassium chloride;air;low population density, long-term;kilogram;489
MCPB;soil;agricultural;kilogram;490
Cumene;air;unspecified;kilogram;491
2,2-Dichloro-1,1,1-trifluoroethane;air;non-urban air or from high stacks;kilogram;492
Mercury II;soil;industrial;kilogram;493
Florasulam;soil;agricultural;kilogram;494
Uranium-235;water;surface water;kilo Becquerel;495
Calcium II;soil;forestry;kilogram;496
Heat, waste;water;unspecified;megajoule;497
Cyclohexane;water;ground-, long-term;kilogram;498
Water;water;unspecified;cubic meter;499
Tributyltin compounds;water;ground-;kilogram;500
Thorium-228;water;unspecified;kilo Becquerel;501
Azaconazol;soil;agricultural;kilogram;502
Thallium I;air;non-urban air or from high stacks;kilogram;503
Curium-242;air;unspecified;kilo Becquerel;504
Radium-226;air;urban air close to ground;kilo Becquerel;505
Ethanol;air;non-urban air or from high stacks;kilogram;506
Propylene oxide;water;ground-, long-term;kilogram;507
Nickel II;soil;industrial;kilogram;508
Antimony-125;air;low population density, long-term;kilo Becquerel;509
Zinc II;air;urban air close to ground;kilogram;510
Occupation, field margin/hedgerow;natural resource;land;square meter-year;511
Rubidium;water;surface water;kilogram;512
Thallium I;soil;unspecified;kilogram;513
Occupation, forest, extensive;natural resource;land;square meter-year;514
Difluoromethane;air;low population density, long-term;kilogram;515
Iodine-131;water;surface water;kilo Becquerel;516
Ethalfluralin;air;unspecified;kilogram;517
Methyl ethyl ketone;air;low population density, long-term;kilogram;518
Polychlorinated biphenyls;water;unspecified;kilogram;519
Benazolin;soil;agricultural;kilogram;520
Strontium-89;water;ocean;kilo Becquerel;521
Technetium-99;air;urban air close to ground;kilo Becquerel;522
Sodium tetrahydridoborate;air;unspecified;kilogram;523
Rubidium;water;ground-;kilogram;524
Magnesium;air;non-urban air or from high stacks;kilogram;525
Dimethyl ether;water;ground-;kilogram;526
Bromoxynil;water;ground-;kilogram;527
Promethium-147;air;non-urban air or from high stacks;kilo Becquerel;528
Mepiquat chloride;soil;agricultural;kilogram;529
Transformation, to cropland fallow (non-use);natural resource;land;square meter;530
Cyclohexane;water;surface water;kilogram;531
Dissolved solids;water;unspecified;kilogram;532
Mercury II;water;ocean;kilogram;533
m-Xylene;air;unspecified;kilogram;534
Acetic acid;water;ground-, long-term;kilogram;535
